,type,id,properties.mag,properties.place,properties.time,properties.updated,properties.tz,properties.url,properties.detail,properties.felt,properties.cdi,properties.mmi,properties.alert,properties.status,properties.tsunami,properties.sig,properties.net,properties.code,properties.ids,properties.sources,properties.types,properties.nst,properties.dmin,properties.rms,properties.gap,properties.magType,properties.type,properties.title,geometry.type,geometry.coordinates
0,Feature,hv61623226,2.29,"8 km SW of Volcano, Hawaii",1488239938700,1635981127390,,https://earthquake.usgs.gov/earthquakes/eventpage/hv61623226,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv61623226&format=geojson,,,,,reviewed,0,81,hv,61623226,",hv61623226,",",hv,",",origin,phase-data,",23.0,,0.08,79.0,md,earthquake,"M 2.3 - 8 km SW of Volcano, Hawaii",Point,"[-155.282666666667, 19.3808333333333, 0.91]"
1,Feature,us20008mti,2.6,"9 km NE of Marshall, Oklahoma",1488239502200,1495594090040,,https://earthquake.usgs.gov/earthquakes/eventpage/us20008mti,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us20008mti&format=geojson,,,,,reviewed,0,104,us,20008mti,",us20008mti,",",us,",",origin,phase-data,",,,0.6,23.0,ml,earthquake,"M 2.6 - 9 km NE of Marshall, Oklahoma",Point,"[-97.5634, 36.219, 6.096]"
2,Feature,nc72768661,1.03,"10 km WSW of Aspen Springs, California",1488238788570,1488241143241,,https://earthquake.usgs.gov/earthquakes/eventpage/nc72768661,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72768661&format=geojson,,,,,reviewed,0,16,nc,72768661,",nc72768661,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.06627,0.04,115.0,md,earthquake,"M 1.0 - 10 km WSW of Aspen Springs, California",Point,"[-118.8313333, 37.5236667, 7.09]"
3,Feature,ak0172ob3252,1.2,"3 km SSE of Point MacKenzie, Alaska",1488238634145,1560872179036,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172ob3252,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172ob3252&format=geojson,,,,,reviewed,0,22,ak,0172ob3252,",ak15423347,ak0172ob3252,",",ak,ak,",",associate,origin,phase-data,",,,0.57,,ml,earthquake,"M 1.2 - 3 km SSE of Point MacKenzie, Alaska",Point,"[-149.9483, 61.3351, 33.2]"
4,Feature,ci37814464,1.51,"8km SSW of Carlsbad, CA",1488236338070,1494958012556,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37814464,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37814464&format=geojson,,,,,reviewed,0,35,ci,37814464,",ci37814464,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",39.0,0.1067,0.14,201.0,ml,earthquake,"M 1.5 - 8km SSW of Carlsbad, CA",Point,"[-117.3768333, 33.0911667, 12.78]"
5,Feature,ak0172oalz9f,1.9,"32 km ESE of Denali National Park, Alaska",1488236265312,1560872178596,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172oalz9f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172oalz9f&format=geojson,,,,,reviewed,0,56,ak,0172oalz9f,",ak15423343,ak0172oalz9f,",",ak,ak,",",associate,origin,phase-data,",,,0.46,,ml,earthquake,"M 1.9 - 32 km ESE of Denali National Park, Alaska",Point,"[-151.1471, 63.4036, 10.9]"
6,Feature,ci37814456,1.3,"7km ESE of Chula Vista, CA",1488236167870,1494959763317,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37814456,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37814456&format=geojson,,,,,reviewed,0,26,ci,37814456,",ci37814456,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.03852,0.15,250.0,ml,quarry blast,"M 1.3 Quarry Blast - 7km ESE of Chula Vista, CA",Point,"[-116.9756667, 32.6045, 3.39]"
7,Feature,pr17058006,2.9,"6 km N of Hatillo, Puerto Rico",1488236012400,1488240517857,,https://earthquake.usgs.gov/earthquakes/eventpage/pr17058006,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr17058006&format=geojson,,,,,REVIEWED,0,129,pr,17058006,",pr17058006,",",pr,",",origin,",7.0,0.20481588,0.27,208.8,Md,earthquake,"M 2.9 - 6 km N of Hatillo, Puerto Rico",Point,"[-66.8195, 18.544, 80]"
8,Feature,ci37814448,0.97,"11km NNW of Borrego Springs, CA",1488235933210,1494957971770,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37814448,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37814448&format=geojson,,,,,reviewed,0,14,ci,37814448,",ci37814448,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.04632,0.14,88.0,ml,earthquake,"M 1.0 - 11km NNW of Borrego Springs, CA",Point,"[-116.4131667, 33.3525, 9.53]"
9,Feature,ak0172oaklpv,1.3,"32 km NW of Ninilchik, Alaska",1488235863235,1560872178176,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172oaklpv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172oaklpv&format=geojson,,,,,reviewed,0,26,ak,0172oaklpv,",ak15423314,ak0172oaklpv,",",ak,ak,",",associate,origin,phase-data,",,,0.44,,ml,earthquake,"M 1.3 - 32 km NW of Ninilchik, Alaska",Point,"[-152.0645, 60.2667, 74.9]"
10,Feature,nn00580289,1.4,"31 km SSW of Hawthorne, Nevada",1488235083144,1530556016175,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00580289,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00580289&format=geojson,,,,,reviewed,0,30,nn,00580289,",nc72768656,nn00580289,",",nc,nn,",",focal-mechanism,origin,phase-data,scitech-link,",24.0,0.168,0.1397,56.37,ml,earthquake,"M 1.4 - 31 km SSW of Hawthorne, Nevada",Point,"[-118.7184, 38.2461, 10.4]"
11,Feature,ak0172oahgtd,1.6,"17 km SW of Lowell Point, Alaska",1488235000016,1560872177720,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0172oahgtd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0172oahgtd&format=geojson,,,,,reviewed,0,39,ak,0172oahgtd,",ak15423311,ak0172oahgtd,",",ak,ak,",",associate,origin,phase-data,",,,0.5,,ml,earthquake,"M 1.6 - 17 km SW of Lowell Point, Alaska",Point,"[-149.6535, 59.9526, 9.5]"
12,Feature,ci37814440,1.5,"15km NW of Ocotillo, CA",1488234870480,1494957833777,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37814440,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37814440&format=geojson,,,,,reviewed,0,35,ci,37814440,",ci37814440,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",29.0,0.04732,0.19,81.0,ml,earthquake,"M 1.5 - 15km NW of Ocotillo, CA",Point,"[-116.1013333, 32.8391667, 13]"
13,Feature,ci37152004,1.04,"16km NW of Ocotillo, CA",1488234848100,1494959890339,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37152004,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37152004&format=geojson,,,,,reviewed,0,17,ci,37152004,",ci37152004,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.0529,0.14,128.0,ml,earthquake,"M 1.0 - 16km NW of Ocotillo, CA",Point,"[-116.1, 32.8448333, 13.51]"
